Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Без вступительных испытаний	1	1954871	1					7				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	2	1223678	1					0				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2026
Без вступительных испытаний	3	2083783	1					0				да	да	да	Межрегиональная олимпиада школьников им. И.Я. Верченко II ур., призер 2026
Без вступительных испытаний	4	1725511	1					0				да	да	да	Всероссийская олимпиада школьников "Миссия выполнима. Твое призвание - финансист!" III ур., победитель 2025
Без вступительных испытаний	5	1818891	1					10				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	6	997051	1					9				да	да	да	Олимпиада школьников "Шаг в будущее" III ур., призер 2025
Без вступительных испытаний	7	1325737	1					8				да	да	да	Олимпиада школьников "Шаг в будущее" III ур., призер 2026
Без вступительных испытаний	8	1267657	2					7				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	9	1251859	1					5				да	да	да	Межрегиональная олимпиада школьников "Будущие исследователи - будущее науки" III ур., призер 2026
Без вступительных испытаний	10	2097727	1					3				да	да	да	Олимпиада школьников "Гранит науки" III ур., призер 2025
Без вступительных испытаний	11	1513301	1					2				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	12	1414677	2					0				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	13	1609023	1					0				да	да	да	Отраслевая олимпиада школьников "Газпром" III ур., призер 2025
Без вступительных испытаний	14	1271154	1					0				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Особая квота	15	1401780	4	ЕГЭ	96	98	97	3	291	294	нет	нет	нет	нет	
Особая квота	16	1327388	4	ЕГЭ	96	93	94	5	283	288	нет	нет	нет	да	
Особая квота	17	1393312	2	ЕГЭ	98	95	91	3	284	287	нет	нет	нет	нет	
Особая квота	18	1458143	2	ЕГЭ	99	98	86	3	283	286	нет	нет	нет	нет	
Особая квота	19	1557919	2	ЕГЭ	95	90	94	3	279	282	нет	нет	нет	нет	
Особая квота	20	1287390	3	ЕГЭ	94	90	86	10	270	280	нет	нет	нет	да	
Особая квота	21	1214065	5	ВИ	96	83	96	3	275	278	нет	нет	нет	нет	
Особая квота	22	1414943	3	ЕГЭ	86	98	81	10	265	275	нет	нет	нет	нет	
Особая квота	23	1641943	2	ЕГЭ	94	88	89	3	271	274	нет	нет	нет	нет	
Особая квота	24	1620669	3	ЕГЭ	94	80	89	9	263	272	нет	нет	нет	нет	
Особая квота	25	1399250	2	ЕГЭ	92	100	75	5	267	272	нет	нет	нет	да	
Особая квота	26	1648454	5	ЕГЭ	98	85	78	7	261	268	нет	нет	нет	нет	
Особая квота	27	1408422	3	ЕГЭ	95	85	78	7	258	265	нет	нет	нет	нет	
Особая квота	28	1366729	4	ЕГЭ	88	83	89	3	260	263	нет	нет	нет	нет	
Особая квота	29	1334165	3	ЕГЭ	88	83	91	0	262	262	нет	нет	нет	нет	
Особая квота	30	1504986	4	ВИ	100	62	92	5	254	259	нет	нет	нет	да	
Особая квота	31	1897156	4	ЕГЭ	84	93	81	0	258	258	нет	нет	нет	нет	
Особая квота	32	1796262	3	ЕГЭ	84	90	83	0	257	257	нет	нет	нет	нет	
Особая квота	33	1613128	4	ЕГЭ	88	90	70	5	248	253	нет	нет	нет	нет	
Особая квота	34	1893116	4	ВИ	80	88	81	3	249	252	нет	нет	нет	нет	
Особая квота	35	1647075	1	ЕГЭ	78	85	86	0	249	249	нет	да	нет	нет	
Особая квота	36	1846736	3	ЕГЭ	86	78	81	3	245	248	нет	нет	нет	нет	
Особая квота	37	975878	5	ВИ	80	83	84	0	247	247	нет	нет	нет	нет	
Особая квота	38	1447639	4	ЕГЭ	95	78	69	2	242	244	нет	нет	нет	нет	
Особая квота	39	1184848	3	ЕГЭ	86	70	86	2	242	244	нет	нет	нет	нет	
Особая квота	40	1753007	3	ЕГЭ	78	90	75	0	243	243	нет	нет	нет	нет	
Особая квота	41	1179579	4	ЕГЭ	84	80	72	3	236	239	нет	нет	нет	нет	
Особая квота	42	1193153	4	ЕГЭ	78	85	75	0	238	238	нет	нет	нет	нет	
