Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Без вступительных испытаний	1	1568434	1					7				да	да	да	Открытая олимпиада школьников I ур., победитель 2025
Без вступительных испытаний	2	1076681	1					0				да	да	да	Открытая олимпиада школьников I ур., победитель 2022
Без вступительных испытаний	3	1436813	1					0				да	да	да	Открытая олимпиада школьников I ур., победитель 2025
Без вступительных испытаний	4	1859676	1					10				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	5	1727373	1					10				да	да	да	Открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	6	1838589	1					10				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	7	1352746	1					10				да	да	да	Открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	8	1198524	1					10				да	да	да	Открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	9	1272207	1					10				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	10	1211277	1					10				да	да	да	Открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	11	1787526	1					10				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	12	1229467	1					8				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	13	1321993	1					7				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	14	1213130	1					7				да	да	да	Открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	15	1649266	1					6				да	да	да	Олимпиада школьников "Ломоносов" I ур., призер 2026
Без вступительных испытаний	16	1578137	1					3				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., призер 2026
Без вступительных испытаний	17	1227983	1					3				да	да	да	Открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	18	1418547	1					3				да	да	да	Открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	19	1846170	1					0				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2025
Без вступительных испытаний	20	1196832	1					0				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	21	1264752	1					0				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	22	1528330	1					0				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	23	1259792	1					10				да	да	да	Всесибирская открытая олимпиада школьников II ур., победитель 2026
Без вступительных испытаний	24	1441036	1					5				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., победитель 2026
Без вступительных испытаний	25	1499566	1					3				да	да	да	Олимпиада школьников "Шаг в будущее" II ур., победитель 2025
Без вступительных испытаний	26	1342992	1					0				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., победитель 2025
Без вступительных испытаний	27	1723388	1					10				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	28	1594719	1					10				да	да	да	Всесибирская открытая олимпиада школьников II ур., призер 2025
Без вступительных испытаний	29	1268281	1					10				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	30	1622824	1					10				да	да	да	Открытая олимпиада школьников по программированию "Когнитивные технологии" II ур., призер 2026
Без вступительных испытаний	31	1344550	1					10				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	32	1239450	1					10				да	да	да	Открытая олимпиада школьников по программированию "Когнитивные технологии" II ур., призер 2025
Без вступительных испытаний	33	1796963	1					10				да	да	да	Межрегиональная олимпиада школьников им. И.Я. Верченко II ур., призер 2026
Без вступительных испытаний	34	1508178	1					10				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	35	992347	1					10				да	да	да	Открытая олимпиада школьников по программированию "Когнитивные технологии" II ур., призер 2026
Без вступительных испытаний	36	1572773	1					10				да	да	да	"Формула Единства"/"Третье тысячелетие" II ур., призер 2026
Без вступительных испытаний	37	1854838	2					10				да	да	да	Олимпиада школьников "Физтех" II ур., призер 2026
Без вступительных испытаний	38	1631512	2					10				да	да	да	Межрегиональная олимпиада школьников им. И.Я. Верченко II ур., призер 2026
Без вступительных испытаний	39	1426139	2					10				да	да	да	Всесибирская открытая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	40	1538295	1					9				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	41	1464011	1					8				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	42	2091283	1					7				да	да	да	Открытая олимпиада школьников по программированию "Когнитивные технологии" II ур., призер 2026
Без вступительных испытаний	43	1515279	1					7				да	да	да	Открытая олимпиада школьников по программированию "Когнитивные технологии" II ур., призер 2026
Без вступительных испытаний	44	1271286	1					7				да	да	да	Открытая олимпиада школьников по программированию "Когнитивные технологии" II ур., призер 2026
Без вступительных испытаний	45	1870435	1					7				да	да	да	Олимпиада школьников "Физтех" II ур., призер 2026
Без вступительных испытаний	46	1468586	2					7				да	да	да	Открытая олимпиада школьников по программированию "Когнитивные технологии" II ур., призер 2026
Без вступительных испытаний	47	1195676	1					7				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	48	1319550	1					6				да	да	да	Олимпиада школьников "Физтех" II ур., призер 2026
Без вступительных испытаний	49	1491932	1					6				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	50	1521786	1					6				да	да	да	Отраслевая физико-математическая олимпиада школьников "Росатом" II ур., призер 2026
Без вступительных испытаний	51	1621555	1					6				да	да	да	Открытая олимпиада школьников по программированию "Когнитивные технологии" II ур., призер 2026
Без вступительных испытаний	52	1808030	2					6				да	да	да	Отраслевая олимпиада школьников "Газпром" II ур., призер 2025
Без вступительных испытаний	53	1273611	1					6				да	да	да	"Формула Единства"/"Третье тысячелетие" II ур., призер 2026
Без вступительных испытаний	54	1349695	1					6				да	да	да	Отраслевая физико-математическая олимпиада школьников "Росатом" II ур., призер 2026
Без вступительных испытаний	55	1446134	1					6				да	да	да	Всероссийская олимпиада школьников "Высшая проба" II ур., призер 2026
Без вступительных испытаний	56	1257228	1					6				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	57	992085	2					6				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	58	1237736	1					6				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	59	1435231	1					5				да	да	да	Межрегиональная олимпиада школьников им. И.Я. Верченко II ур., призер 2026
Без вступительных испытаний	60	1623833	1					5				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	61	1256156	1					5				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	62	1357333	2					5				да	да	да	Олимпиада школьников "Физтех" II ур., призер 2025
Без вступительных испытаний	63	1639049	1					5				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	64	1610805	2					5				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
