Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Без вступительных испытаний	1	1435736	1					3				да	да	да	Всероссийская олимпиада школьников, призер 2025
Без вступительных испытаний	2	1292103	1					0				да	да	да	Всероссийская олимпиада школьников, призер 2025
Без вступительных испытаний	3	1725086	1					3				да	да	да	Открытая олимпиада школьников I ур., победитель 2023
Без вступительных испытаний	4	1727461	1					0				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	5	1277305	1					0				да	да	да	Межрегиональная олимпиада школьников им. И.Я. Верченко II ур., победитель 2026
Без вступительных испытаний	6	1177734	1					9				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	7	1074515	1					9				да	да	да	Межрегиональная олимпиада школьников им. И.Я. Верченко II ур., призер 2026
Без вступительных испытаний	8	1651189	1					7				да	да	да	Межрегиональная олимпиада школьников им. И.Я. Верченко II ур., призер 2026
Без вступительных испытаний	9	939690	1					6				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	10	1459847	1					5				да	да	да	Университетская олимпиада школьников "Бельчонок" III ур., призер 2026
Без вступительных испытаний	11	1417195	1					3				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	12	1985202	1					3				да	да	да	Университетская олимпиада школьников "Бельчонок" III ур., призер 2026
Без вступительных испытаний	13	1338528	1					0				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	14	1586350	1					0				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Целевая квота	15	1305468	2	ЕГЭ	95	98	83	9	276	285	нет	да	нет	нет	
Целевая квота	16	1571317	2	ЕГЭ	94	93	89	7	276	283	нет	нет	нет	нет	
Целевая квота	17	1192394	2	ЕГЭ	100	100	75	0	275	275	нет	да	нет	нет	
Целевая квота	18	1506200	1	ЕГЭ	94	85	91	5	270	275	нет	нет	нет	нет	
Целевая квота	19	1434193	1	ЕГЭ	92	88	89	5	269	274	да	нет	нет	нет	
Целевая квота	20	1504586	2	ЕГЭ	90	90	91	0	271	271	нет	нет	нет	нет	
Целевая квота	21	1197746	1	ЕГЭ	86	93	83	3	262	265	нет	да	да	да	
Целевая квота	22	1804470	4	ЕГЭ	84	85	89	5	258	263	нет	нет	нет	нет	
Целевая квота	23	1603087	6	ЕГЭ	78	85	94	0	257	257	нет	нет	нет	нет	
Целевая квота	24	1716048	2	ЕГЭ	88	85	83	0	256	256	нет	нет	нет	нет	
Целевая квота	25	1431138	1	ЕГЭ	82	75	94	3	251	254	нет	да	нет	нет	
Целевая квота	26	1641399	4	ЕГЭ	80	85	87	0	252	252	нет	нет	нет	нет	
Особая квота	27	1357302	4	ВИ	100	85	100	7	285	292	нет	нет	нет	нет	
Особая квота	28	1327388	1	ЕГЭ	96	93	94	5	283	288	нет	да	да	да	
Особая квота	29	1393312	5	ЕГЭ	98	95	91	3	284	287	нет	нет	нет	нет	
Особая квота	30	1458143	1	ЕГЭ	99	98	86	3	283	286	нет	да	нет	нет	
Особая квота	31	1526498	4	ЕГЭ	96	100	83	3	279	282	нет	нет	нет	да	
Особая квота	32	1910558	1	ЕГЭ	100	100	73	3	273	276	нет	да	нет	нет	
Особая квота	33	1713758	5	ЕГЭ	92	90	89	5	271	276	нет	нет	нет	нет	
Особая квота	34	1399250	5	ЕГЭ	92	100	75	5	267	272	нет	нет	нет	да	
Особая квота	35	1855369	2	ЕГЭ	90	80	97	3	267	270	нет	нет	нет	нет	
Особая квота	36	1181094	3	ЕГЭ	86	95	86	3	267	270	нет	нет	нет	нет	
Особая квота	37	1648454	3	ЕГЭ	98	85	78	7	261	268	нет	нет	нет	нет	
Особая квота	38	1566496	2	ЕГЭ	97	85	81	5	263	268	нет	нет	нет	нет	
Особая квота	39	1169602	1	ЕГЭ	88	93	75	10	256	266	нет	да	нет	нет	
Особая квота	40	1177122	4	ЕГЭ	80	95	89	0	264	264	нет	нет	нет	нет	
Особая квота	41	1334165	2	ЕГЭ	88	83	91	0	262	262	нет	нет	нет	нет	
Особая квота	42	1265582	2	ВИ	88	78	88	7	254	261	нет	нет	нет	нет	
Особая квота	43	1541514	5	ЕГЭ	80	100	78	0	258	258	нет	нет	нет	нет	
Особая квота	44	1796262	1	ЕГЭ	84	90	83	0	257	257	нет	да	нет	нет	
Особая квота	45	1130114	2	ЕГЭ	82	90	81	3	253	256	нет	да	нет	нет	
Особая квота	46	1285859	5	ЕГЭ	86	78	86	5	250	255	нет	нет	нет	нет	
Особая квота	47	997401	4	ЕГЭ	68	93	87	6	248	254	да	нет	нет	да	
Особая квота	48	1846736	5	ЕГЭ	86	78	81	3	245	248	нет	нет	нет	нет	
Особая квота	49	975878	3	ВИ	80	83	84	0	247	247	нет	нет	нет	нет	
