Образовательная программа	Количество мест	Дата обновления	№ п/п	Уникальный идентификатор абитуриента	Право поступления без вступительных испытаний	Основание БВИ	Приоритет зачисления	Наличие согласия на зачисление	ВИ 1	ВИ 2	ВИ 3	Сумма баллов за вступительные испытания	Сумма баллов по индивидуальным достижениям	Сумма конкурсных баллов	Все оценки положительные	Статус заявления	Преимущественное право п.9	Преимущественное право п.10	Требуется общежитие на время обучения	Возврат документов
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	1	1915374	Да	Диплом олимпиады	5	-	94	78	86	258	9	267	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	2	1521429	Да	Диплом олимпиады	4	-	96	98	100	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	3	1599013	Да	Диплом олимпиады	1	-	72	90	78	240	7	247	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	4	1250773	Да	Диплом олимпиады	1	Да	100	93	91	284	3	287	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	5	2025450	Да	Диплом олимпиады	1	-	100	62	72	234	3	237	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	6	1323902	Да	Диплом олимпиады	1	Да	97	88	94	279	5	284	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	7	1949248	Да	Диплом олимпиады	1	Да	100	83	72	255	5	260	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	8	1618150	-		2	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	9	1854838	-		4	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	10	2001539	-		4	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	11	1823789	-		2	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	12	1334839	-		1	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	13	1484288	-		1	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	14	1533512	-		2	-	100	100	94	294	9	303	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	15	1210337	-		4	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	16	1129308	-		3	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	17	1491745	-		3	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	18	1255677	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	19	2005384	-		5	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	20	1502047	-		4	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	21	1628551	-		1	-	99	100	97	296	5	301	Да	Участвует в конкурсе	-	-	-	-
