Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Без вступительных испытаний	1	1366736	1					10				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	2	1256531	1					10				да	да	да	Всероссийская олимпиада школьников, призер 2025
Без вступительных испытаний	3	1795116	1					10				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	4	1611102	1					10				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	5	1716455	1					7				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	6	1826837	1					7				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	7	1323228	1					7				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	8	1270367	1					6				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	9	1192555	1					3				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	10	1994253	1					3				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	11	1401580	1					0				да	да	да	Всероссийская олимпиада школьников, призер 2026
Без вступительных испытаний	12	1265102	1					10				да	да	да	Московская олимпиада школьников I ур., победитель 2025
Без вступительных испытаний	13	1505557	1					10				да	да	да	Московская олимпиада школьников I ур., победитель 2026
Без вступительных испытаний	14	1244182	1					10				да	да	да	Всесибирская открытая олимпиада школьников I ур., победитель 2025
Без вступительных испытаний	15	1638682	1					10				да	да	да	Московская олимпиада школьников I ур., победитель 2026
Без вступительных испытаний	16	1639933	1					10				да	да	да	Вузовско-академическая олимпиада по информатике I ур., победитель 2026
Без вступительных испытаний	17	1440357	1					10				да	да	да	Олимпиада школьников по информатике и программированию I ур., победитель 2026
Без вступительных испытаний	18	1799586	1					9				да	да	да	Открытая олимпиада школьников I ур., победитель 2026
Без вступительных испытаний	19	1424659	1					5				да	да	да	Открытая олимпиада школьников I ур., победитель 2025
Без вступительных испытаний	20	1800794	1					3				да	да	да	Открытая олимпиада школьников I ур., победитель 2026
Без вступительных испытаний	21	1516553	1					3				да	да	да	Открытая олимпиада школьников I ур., победитель 2026
Без вступительных испытаний	22	1452511	1					3				да	да	да	Открытая олимпиада школьников I ур., победитель 2025
Без вступительных испытаний	23	1471911	1					3				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., победитель 2026
Без вступительных испытаний	24	1905656	1					3				да	да	да	Открытая олимпиада школьников I ур., победитель 2025
Без вступительных испытаний	25	1853987	1					2				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., победитель 2025
Без вступительных испытаний	26	1190457	1					0				да	да	да	Открытая олимпиада школьников I ур., победитель 2025
Без вступительных испытаний	27	1028138	1					0				да	да	да	Открытая олимпиада школьников I ур., победитель 2026
Без вступительных испытаний	28	1477067	1					0				да	да	да	Олимпиада школьников Санкт-Петербургского государственного университета I ур., победитель 2026
Без вступительных испытаний	29	1361769	1					10				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., призер 2026
Без вступительных испытаний	30	947892	1					10				да	да	да	Московская олимпиада школьников I ур., призер 2025
Без вступительных испытаний	31	945817	1					10				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., призер 2026
Без вступительных испытаний	32	1557524	1					10				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., призер 2026
Без вступительных испытаний	33	1633199	1					10				да	да	да	Московская олимпиада школьников I ур., призер 2026
Без вступительных испытаний	34	1784123	1					10				да	да	да	Московская олимпиада школьников I ур., призер 2026
Без вступительных испытаний	35	1258231	1					10				да	да	да	Всесибирская открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	36	1470023	1					10				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., призер 2026
Без вступительных испытаний	37	1857223	1					10				да	да	да	Московская олимпиада школьников I ур., призер 2026
Без вступительных испытаний	38	1612262	1					10				да	да	да	Всесибирская открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	39	1846081	1					10				да	да	да	Московская олимпиада школьников I ур., призер 2025
Без вступительных испытаний	40	1182129	1					10				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	41	1280389	1					10				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	42	1210557	1					10				да	да	да	Всесибирская открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	43	1352157	1					10				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., призер 2026
