Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Без вступительных испытаний	1	1178188	1					10				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	2	1433807	1					5				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	3	1204266	1					0				да	да	да	Олимпиада школьников "Ломоносов" I ур., призер 2026
Без вступительных испытаний	4	1845738	1					0				да	да	да	Открытая олимпиада школьников I ур., призер 2026
Без вступительных испытаний	5	1977751	1					0				да	да	да	Олимпиада школьников "Покори Воробьёвы горы!" I ур., призер 2026
Без вступительных испытаний	6	1252477	1					3				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., победитель 2026
Без вступительных испытаний	7	1728074	1					2				да	да	да	Олимпиада Курчатов II ур., победитель 2026
Без вступительных испытаний	8	1637658	1					0				да	да	да	Олимпиада школьников "Физтех" II ур., победитель 2025
Без вступительных испытаний	9	1192720	1					0				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., победитель 2026
Без вступительных испытаний	10	1617064	1					10				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2026
Без вступительных испытаний	11	1610920	1					10				да	да	да	Олимпиада школьников "Шаг в будущее" II ур., призер 2025
Без вступительных испытаний	12	1166268	1					9				да	да	да	Отраслевая физико-математическая олимпиада школьников "Росатом" II ур., призер 2026
Без вступительных испытаний	13	1997475	1					7				да	да	да	Всесибирская открытая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	14	1351630	1					6				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2026
Без вступительных испытаний	15	1649098	1					5				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2025
Без вступительных испытаний	16	1245514	1					5				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2026
Без вступительных испытаний	17	983814	1					3				да	да	да	Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций II ур., призер 2024
Без вступительных испытаний	18	2041676	1					3				да	да	да	Олимпиада Курчатов II ур., призер 2026
Без вступительных испытаний	19	1257479	1					3				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	20	1608891	1					3				да	да	да	Олимпиада школьников "Физтех" II ур., призер 2026
Без вступительных испытаний	21	1637765	1					3				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	22	1665106	1					3				да	да	да	Межрегиональная олимпиада школьников им. И.Я. Верченко II ур., призер 2025
Без вступительных испытаний	23	1784905	1					2				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2025
Без вступительных испытаний	24	1574876	1					2				да	да	да	Олимпиада Курчатов II ур., призер 2026
Без вступительных испытаний	25	1769684	1					2				да	да	да	Отраслевая физико-математическая олимпиада школьников "Росатом" II ур., призер 2026
Без вступительных испытаний	26	1557556	1					2				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., призер 2025
Без вступительных испытаний	27	1439931	1					2				да	да	да	Отраслевая физико-математическая олимпиада школьников "Росатом" II ур., призер 2026
Без вступительных испытаний	28	1775723	1					0				да	да	да	Отраслевая физико-математическая олимпиада школьников "Росатом" II ур., призер 2025
Без вступительных испытаний	29	2056091	1					0				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	30	1493878	1					0				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	31	1574162	1					0				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
