Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Без вступительных испытаний	1	1349678	1					10				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2025
Без вступительных испытаний	2	1580750	4					10				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	3	1410095	1					10				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	4	1800872	1					7				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., призер 2026
Без вступительных испытаний	5	1758218	1					4				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., призер 2026
Без вступительных испытаний	6	1428301	1					3				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	7	1239204	1					0				да	да	да	Университетская олимпиада школьников "Бельчонок" III ур., призер 2026
Целевая квота	8	1350476	6	ЕГЭ	90	100	86	3	276	279	нет	да	нет	нет	
Целевая квота	9	1519365	6	ЕГЭ	84	93	97	3	274	277	нет	да	нет	нет	
Целевая квота	10	1912277	1	ЕГЭ	96	93	72	2	261	263	нет	нет	нет	нет	
Целевая квота	11	1014737	5	ВИ			80	6	110	116	нет	да	нет	нет	
Целевая квота	12	1286738	1	ВИ				0	0	0	нет	да	нет	нет	
Особая квота	13	1401780	5	ЕГЭ	96	98	97	3	291	294	нет	нет	нет	нет	
Особая квота	14	1327388	2	ЕГЭ	96	93	94	5	283	288	нет	нет	нет	да	
Особая квота	15	1393312	3	ЕГЭ	98	95	91	3	284	287	нет	нет	нет	нет	
Особая квота	16	1557919	4	ЕГЭ	95	90	94	3	279	282	нет	нет	нет	нет	
Особая квота	17	2039703	3	ЕГЭ	82	98	97	3	277	280	нет	нет	нет	да	
Особая квота	18	1214065	2	ВИ	96	83	96	3	275	278	нет	нет	нет	нет	
Особая квота	19	1910558	3	ЕГЭ	100	100	73	3	273	276	нет	нет	нет	нет	
Особая квота	20	1340150	5	ВИ	100	80	96	0	276	276	нет	нет	нет	нет	
Особая квота	21	1713758	4	ЕГЭ	92	90	89	5	271	276	нет	нет	нет	нет	
Особая квота	22	1414943	5	ЕГЭ	86	98	81	10	265	275	нет	нет	нет	нет	
Особая квота	23	1620669	4	ЕГЭ	94	80	89	9	263	272	нет	нет	нет	нет	
Особая квота	24	1366729	3	ЕГЭ	88	83	89	3	260	263	нет	нет	нет	нет	
Особая квота	25	1265582	3	ВИ	88	78	88	7	254	261	нет	нет	нет	нет	
Особая квота	26	1501029	4	ЕГЭ	94	93	72	0	259	259	нет	нет	нет	да	
Особая квота	27	1897156	5	ЕГЭ	84	93	81	0	258	258	нет	нет	нет	нет	
Особая квота	28	1541514	4	ЕГЭ	80	100	78	0	258	258	нет	нет	нет	нет	
