Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Без вступительных испытаний	1	1065444	1					5				да	да	да	Открытая олимпиада школьников I ур., победитель 2025
Без вступительных испытаний	2	1502472	1					10				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., победитель 2026
Без вступительных испытаний	3	1820827	1					10				да	да	да	Олимпиада школьников "Гранит науки" II ур., победитель 2026
Без вступительных испытаний	4	1967789	1					9				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., победитель 2025
Без вступительных испытаний	5	1205813	1					4				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., победитель 2026
Без вступительных испытаний	6	1572504	1					0				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., победитель 2026
Без вступительных испытаний	7	1195957	1					10				да	да	да	Олимпиада школьников "Шаг в будущее" II ур., призер 2025
Без вступительных испытаний	8	1698180	1					10				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2026
Без вступительных испытаний	9	1648983	1					10				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2026
Без вступительных испытаний	10	995666	1					10				да	да	да	Отраслевая олимпиада школьников "Газпром" II ур., призер 2025
Без вступительных испытаний	11	1758275	1					7				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	12	1788349	1					6				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	13	1477896	1					5				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2026
Без вступительных испытаний	14	1976364	1					5				да	да	да	Олимпиада Курчатов II ур., призер 2026
Без вступительных испытаний	15	1750809	1					5				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2025
Без вступительных испытаний	16	1210759	1					4				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2025
Без вступительных испытаний	17	1834990	1					3				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	18	1477357	1					3				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2025
Без вступительных испытаний	19	1697824	1					3				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2026
Без вступительных испытаний	20	1728729	1					3				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2026
Без вступительных испытаний	21	2048706	1					3				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2025
Без вступительных испытаний	22	1366879	1					2				да	да	да	Отраслевая физико-математическая олимпиада школьников "Росатом" II ур., призер 2026
Без вступительных испытаний	23	1127017	1					0				да	да	да	Олимпиада школьников "Шаг в будущее" II ур., призер 2022
Без вступительных испытаний	24	1564490	1					0				да	да	да	Олимпиада школьников "Физтех" II ур., призер 2026
Без вступительных испытаний	25	1616354	1					0				да	да	да	Отраслевая олимпиада школьников "Газпром" II ур., призер 2025
Без вступительных испытаний	26	1807618	1					0				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2026
Без вступительных испытаний	27	1616679	1					0				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	28	1837848	1					10				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2026
Без вступительных испытаний	29	1743909	1					10				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2026
Без вступительных испытаний	30	1739539	1					7				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2026
Без вступительных испытаний	31	1004052	1					7				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2026
Без вступительных испытаний	32	955868	1					0				да	да	да	Всероссийская олимпиада школьников "Миссия выполнима. Твое призвание - финансист!" III ур., победитель 2024
Без вступительных испытаний	33	1312647	1					0				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2026
Без вступительных испытаний	34	1612531	1					10				да	да	да	Межрегиональная олимпиада школьников "Будущие исследователи - будущее науки" III ур., призер 2026
Без вступительных испытаний	35	1631447	3					10				да	да	да	Олимпиада школьников "Шаг в будущее" III ур., призер 2026
Без вступительных испытаний	36	1558454	1					10				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	37	1793522	1					10				да	да	да	Олимпиада школьников "Шаг в будущее" III ур., призер 2026
Без вступительных испытаний	38	1175146	4					10				да	да	да	Межрегиональная олимпиада школьников "Будущие исследователи - будущее науки" III ур., призер 2025
Без вступительных испытаний	39	1290003	2					9				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	40	1201283	2					7				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2025
Без вступительных испытаний	41	1215704	1					7				да	да	да	Олимпиада школьников "Шаг в будущее" III ур., призер 2026
Без вступительных испытаний	42	1353907	1					6				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	43	1156617	1					6				да	да	да	Олимпиада школьников "Шаг в будущее" III ур., призер 2026
Без вступительных испытаний	44	974866	2					5				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	45	1521418	3					5				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	46	2039892	1					5				да	да	да	Университетская олимпиада школьников "Бельчонок" III ур., призер 2026
Без вступительных испытаний	47	1039095	1					4				да	да	да	Отраслевая олимпиада школьников "Газпром" III ур., призер 2026
Без вступительных испытаний	48	1647669	3					3				да	да	да	Международная олимпиада школьников Уральского федерального университета "Изумруд" III ур., призер 2026
Без вступительных испытаний	49	1235413	1					3				да	да	да	Межрегиональная олимпиада школьников "Будущие исследователи - будущее науки" III ур., призер 2026
