Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Без вступительных испытаний	1	1153495	1					3				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., победитель 2026
Без вступительных испытаний	2	967009	1					0				да	да	да	Отраслевая олимпиада школьников "Газпром" II ур., победитель 2025
Без вступительных испытаний	3	1702782	1					7				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2025
Без вступительных испытаний	4	1154533	1					6				да	да	да	Всесибирская открытая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	5	1153475	1					5				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2026
Без вступительных испытаний	6	1690780	1					3				да	да	да	Олимпиада школьников "Физтех" II ур., призер 2022
Без вступительных испытаний	7	1158663	1					2				да	да	да	Межрегиональная олимпиада школьников им. И.Я. Верченко II ур., призер 2025
Без вступительных испытаний	8	1840155	1					0				да	да	да	Олимпиада школьников "Гранит науки" II ур., призер 2026
Без вступительных испытаний	9	1702785	1					0				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2025
Без вступительных испытаний	10	1106265	1					0				да	да	да	Олимпиада школьников "Физтех" II ур., призер 2022
Без вступительных испытаний	11	1621451	1					0				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2026
Без вступительных испытаний	12	1597822	1					0				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" II ур., призер 2025
Без вступительных испытаний	13	1178872	1					0				да	да	да	Университетская олимпиада школьников "Бельчонок" II ур., призер 2026
Без вступительных испытаний	14	1412769	1					10				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2026
Без вступительных испытаний	15	1257415	1					5				да	да	да	Отраслевая олимпиада школьников "Газпром" III ур., победитель 2026
Без вступительных испытаний	16	1413028	1					3				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2026
Без вступительных испытаний	17	1192252	1					0				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2026
