Образовательная программа	Количество мест	Дата обновления	№ п/п	Уникальный идентификатор абитуриента	Право поступления без вступительных испытаний	Основание БВИ	Приоритет зачисления	Наличие согласия на зачисление	ВИ 1	ВИ 2	ВИ 3	Сумма баллов за вступительные испытания	Сумма баллов по индивидуальным достижениям	Сумма конкурсных баллов	Все оценки положительные	Статус заявления	Преимущественное право п.9	Преимущественное право п.10	Требуется общежитие на время обучения	Возврат документов
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	1	1633348	Да	Диплом олимпиады	1	-	96	98	81	275	8	283	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	2	2043367	Да	Диплом олимпиады	4	Да	90	90	91	271	9	280	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	3	1618150	-		4	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	4	1823789	-		3	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	5	1484288	-		3	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	6	1533512	-		8	-	100	100	94	294	9	303	Да	Участвует в конкурсе	-	-	-	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	7	1210337	-		5	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	8	1129308	-		4	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	9	2005384	-		7	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	10	1502047	-		3	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	11	1628551	-		5	-	99	100	97	296	5	301	Да	Участвует в конкурсе	-	-	-	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	12	1455709	-		12	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	13	1413259	-		3	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	14	1723173	-		4	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	15	2060011	-		2	-	100	93	97	290	10	300	Да	На рассмотрении	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	16	1776866	-		1	-	99	100	97	296	3	299	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	17	1586111	-		3	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	18	1188080	-		5	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	19	1702887	-		2	-	100	100	89	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Компьютерные технологии, системы и сети	15	16.07.2026 19:00	20	1673245	-		7	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
