Образовательная программа	Количество мест	Дата обновления	№ п/п	Уникальный идентификатор абитуриента	Право поступления без вступительных испытаний	Основание БВИ	Приоритет зачисления	Наличие согласия на зачисление	ВИ 1	ВИ 2	ВИ 3	Сумма баллов за вступительные испытания	Сумма баллов по индивидуальным достижениям	Сумма конкурсных баллов	Все оценки положительные	Статус заявления	Преимущественное право п.9	Преимущественное право п.10	Требуется общежитие на время обучения	Возврат документов
Прикладная математика и информатика	24	16.07.2026 17:48	1	1494774	Да	Диплом олимпиады	1	Да	86	67	58	211	8	219	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	2	1193494	Да	Диплом олимпиады	1	-	100	90	83	273	3	276	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	3	1517329	Да	Диплом олимпиады	1	Да	100	-	-	183	2	185	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	4	1521429	-		5	-	100	98	100	298	10	308	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	5	1854838	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	6	2001539	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	7	1618150	-		1	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	8	1823789	-		1	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	9	1334839	-		2	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	10	1484288	-		4	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	11	1129308	-		2	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	12	1210337	-		3	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	13	1255677	-		1	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	14	1491745	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	15	2005384	-		4	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	16	1502047	-		2	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	17	1443240	-		3	-	99	100	94	293	8	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	18	1535558	-		4	-	100	100	91	291	10	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	19	1455709	-		3	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	20	1413259	-		1	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	21	1723173	-		1	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	22	2060011	-		3	-	100	93	97	290	10	300	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	23	1586111	-		1	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	24	1188080	-		4	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	25	1702887	-		1	-	100	100	89	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	26	1911722	-		5	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
